1,8,9
1,48,49
1,63,64
1,80,81
1,224,225
1,242,243
1,288,289
1,512,513
1,624,625
1,675,676
1,728,729
1,960,961
1,1024,1025
1,1215,1216
1,2303,2304
1,2400,2401
1,3024,3025
1,3887,3888
1,3968,3969
1,4095,4096
1,4374,4375
1,5831,5832
1,6399,6400
1,6560,6561
1,6655,6656
1,6859,6860
1,8575,8576
1,9375,9376
1,9408,9409
1,9800,9801
1,10647,10648
1,12167,12168
1,14336,14337
1,15624,15625
1,16128,16129
1,17576,17577
1,21951,21952
1,24299,24300
1,25920,25921
1,28125,28126
1,29375,29376
1,29791,29792
1,31212,31213
1,32768,32769
1,33614,33615
1,49247,49248
1,50175,50176
1,50624,50625
1,55296,55297
1,57121,57122
1,58563,58564
1,59048,59049
1,59049,59050
1,59535,59536
1,63000,63001
1,65024,65025
1,68607,68608
1,71874,71875
1,76544,76545
1,82943,82944
1,83520,83521
1,90624,90625
1,97199,97200
1,101250,101251
1,105624,105625
1,107648,107649
1,110592,110593
1,117648,117649
2,243,245
2,70225,70227
3,125,128
3,16807,16810
3,65533,65536
3,69629,69632
4,121,125
4,15125,15129
4,59045,59049
4,60021,60025
5,27,32
5,507,512
5,1024,1029
5,28561,28566
5,107648,107653
7,243,250
7,3993,4000
7,5625,5632
7,24057,24064
7,32761,32768
7,65529,65536
8,1323,1331
8,15625,15633
9,2048,2057
9,6241,6250
9,8183,8192
9,10976,10985
9,15616,15625
9,16375,16384
9,16384,16393
9,64000,64009
10,2187,2197
11,2176,2187
11,3125,3136
11,4096,4107
11,8181,8192
11,24565,24576
11,36864,36875
11,91125,91136
13,243,256
15,85169,85184
16,6859,6875
16,9245,9261
16,14625,14641
16,15609,15625
16,21125,21141
16,28561,28577
16,34375,34391
16,78125,78141
17,5103,5120
17,12150,12167
17,77824,77841
19,6125,6144
19,8000,8019
19,15606,15625
19,43904,43923
19,99981,100000
20,19663,19683
23,2025,2048
23,21609,21632
23,34969,34992
23,65513,65536
25,704,729
25,2023,2048
25,2376,2401
25,3456,3481
25,9801,9826
25,35912,35937
25,114219,114244
25,117624,117649
27,512,539
27,12005,12032
28,50625,50653
29,19683,19712
31,19652,19683
31,41472,41503
32,49,81
32,343,375
32,11875,11907
32,24025,24057
32,28561,28593
32,34263,34295
35,4096,4131
35,93312,93347
37,32768,32805
37,117612,117649
40,16767,16807
41,10935,10976
49,576,625
49,4864,4913
49,14592,14641
49,16335,16384
49,18176,18225
49,28512,28561
49,59000,59049
49,61952,62001
49,62451,62500
49,69120,69169
53,3072,3125
53,6859,6912
56,59319,59375
64,6561,6625
64,6591,6655
64,19683,19747
68,16807,16875
73,15552,15625
81,175,256
81,544,625
81,1250,1331
81,1600,1681
81,2116,2197
81,19375,19456
81,79919,80000
81,117568,117649
83,19600,19683
85,87723,87808
87,102400,102487
89,65536,65625
98,14641,14739
99,2401,2500
100,243,343
104,625,729
111,28561,28672
119,59049,59168
121,12167,12288
121,16807,16928
121,19652,19773
121,59904,60025
121,78125,78246
125,2187,2312
125,3971,4096
125,11907,12032
125,19683,19808
125,32643,32768
125,33489,33614
125,50176,50301
125,62083,62208
128,2997,3125
128,3645,3773
128,4913,5041
128,20449,20577
128,34263,34391
128,59049,59177
128,109375,109503
137,15488,15625
139,2048,2187
145,117504,117649
161,6400,6561
162,12005,12167
162,15463,15625
169,343,512
169,58880,59049
169,65367,65536
172,83349,83521
192,2209,2401
200,529,729
232,50421,50653
243,1088,1331
243,1805,2048
243,14641,14884
243,20237,20480
243,21632,21875
243,42632,42875
243,72962,73205
243,78125,78368
256,1331,1587
256,3969,4225
256,27869,28125
284,77841,78125
289,6272,6561
289,20736,21025
301,77824,78125
317,19683,20000
317,65219,65536
320,6241,6561
324,117325,117649
343,625,968
343,8405,8748
343,59049,59392
351,30625,30976
361,75264,75625
361,118098,118459
375,3721,4096
423,16384,16807
449,117649,118098
459,3125,3584
475,19208,19683
485,58564,59049
491,16384,16875
507,32768,33275
507,77618,78125
512,1675,2187
512,3481,3993
512,11881,12393
512,85293,85805
513,65536,66049
521,117128,117649
529,14112,14641
529,101871,102400
577,82944,83521
607,78125,78732
625,2048,2673
625,66603,67228
625,78608,79233
625,103823,104448
637,52488,53125
640,729,1369
648,3125,3773
709,64827,65536
729,14896,15625
729,16807,17536
729,49000,49729
729,81191,81920
729,87079,87808
729,89383,90112
729,99127,99856
729,109744,110473
759,15625,16384
775,78732,79507
784,6075,6859
800,68121,68921
841,77284,78125
847,40625,41472
896,49729,50625
961,5600,6561
968,58081,59049
976,59049,60025
984,14641,15625
1024,1377,2401
1024,2187,3211
1024,5537,6561
1024,39601,40625
1024,116625,117649
1075,15309,16384
1125,8192,9317
1125,27436,28561
1152,82369,83521
1183,6561,7744
1183,8192,9375
1331,4096,5427
1331,9604,10935
1331,50653,51984
1331,100000,101331
1369,14256,15625
1519,13122,14641
1536,15625,17161
1625,16807,18432
1681,12960,14641
1681,86528,88209
1701,13924,15625
1875,16384,18259
1875,32768,34643
1875,48778,50653
1936,13689,15625
1944,58081,60025
1960,59049,61009
2000,14641,16641
2048,2187,4235
2048,41875,43923
2048,48373,50421
2048,60025,62073
2048,64827,66875
2125,85683,87808
2166,14641,16807
2187,3125,5312
2187,16384,18571
2187,114688,116875
2197,7803,10000
2197,50625,52822
2209,4352,6561
2209,14175,16384
2209,29791,32000
2349,75776,78125
2401,3375,5776
2401,4160,6561
2401,9375,11776
2401,10368,12769
2401,16384,18785
2401,22599,25000
2401,78732,81133
2401,81120,83521
2401,81920,84321
2500,83349,85849
2673,103823,106496
2704,50421,53125
2809,12500,15309
2875,61952,64827
3087,4913,8000
3125,6859,9984
3125,14283,17408
3125,52441,55566
3125,114244,117369
3159,13225,16384
3584,14641,18225
3721,32000,35721
4096,6889,10985
4096,11529,15625
4096,55223,59319
4096,75411,79507
4489,16807,21296
4913,9728,14641
4913,13312,18225
4913,41743,46656
4913,50653,55566
4913,75087,80000
5041,10584,15625
5041,106496,111537
5120,6859,11979
5329,12167,17496
5408,98415,103823
